#Boxplots d'expressions du gène TP53 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.512, p-value = 0.00132
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2485        mut30        1.556033
   BA2489        mut30        0.264869
   BA2494        mut30        0.212407
   BA2496        mut30        0.817016
   BA2497        mut30        1.092527
   BA2499        mut30        0.442940
   BA2500        mut30        0.559617
   BA2501        mut30        0.877769
   BA2505        mut30        0.649239
   BA2510        mut30        0.698917
   BA2511        mut30        0.202989
   BA2512        mut30        0.857063
   BA2514        mut30        0.235062
   BA2515        mut30        0.278959
   BA2520        mut30        0.537103
   BA2521        mut30        1.131009
   BA2523        mut30        0.925944
   BA2524        mut30        0.242949
   BA2525        mut30        0.277348
   BA2526        mut30        0.365617
   BA2528        mut30        0.780875
   BA2534        mut30        1.022694
   BA2538        mut30        0.205591
   BA2539        mut30        0.585015
   BA2540        mut30        0.347785
   BA2541        mut30        1.559192
   BA2545        mut30        0.735213
   BA2546        mut30        0.821463
   BA2552        mut30        0.342056
   BA2559        mut30        0.308553
   BA2561        mut30        1.208663
   BA2563        mut30        1.411587
   BA2570        mut30        0.520364
   BA2575        mut30        0.911198
   BA2577        mut30        1.315208
   BA2579        mut30        0.670665
   BA2583        mut30        0.708932
   BA2584        mut30        1.076469
   BA2587        mut30        1.201092
   BA2588        mut30        0.633482
   BA2589        mut30        0.168385
   BA2592        mut30        0.646531
   BA2597        mut30        0.290612
   BA2600        mut30        0.256159
   BA2603        mut30        1.241553
   BA2618        mut30        0.836713
   BA2619        mut30        0.930991
   BA2620        mut30        1.350737
   BA2622        mut30        0.875970
   BA2623        mut30        1.616624
   BA2629        mut30        1.967340
   BA2631        mut30        1.348781
   BA2634        mut30        0.509285
   BA2636        mut30        0.342539
   BA2644        mut30        0.808192
   BA2645        mut30        0.171107
   BA2646        mut30        0.657695
   BA2649        mut30        1.659243
   BA2651        mut30        0.264654
   BA2653        mut30        0.946772
   BA2655        mut30        1.176173
   BA2656        mut30        0.666715
   BA2657        mut30        1.072964
   BA2658        mut30        0.821815
   BA2659        mut30        0.606948
   BA2660        mut30        1.214576
   BA2662        mut30        1.837428
   BA2663        mut30        0.149772
   BA2667        mut30        1.024203
   BA2670        mut30        0.178436
   BA2674        mut30        0.927158
   BA2675        mut30        1.191624
   BA2676        mut30        0.771396
   BA2677        mut30        0.765730
   BA2682        mut30        0.676958
   BA2685        mut30        0.507825
   BA2688        mut30        0.565719
   BA2691        mut30        0.620728
   BA2694        mut30        0.414904
   BA2695        mut30        0.263460
   BA2697        mut30        0.289535
   BA2701        mut30        0.242362
   BA2704        mut30        1.139620
   BA2705        mut30        0.401203
   BA2707        mut30        0.444889
   BA2712        mut30        0.530862
   BA2715        mut30        0.184752
   BA2718        mut30        1.755714
   BA2720        mut30        0.292220
   BA2721        mut30        1.465633
   BA2724        mut30        0.196819
   BA2726        mut30        0.581600
   BA2727        mut30        0.891799
   BA2728        mut30        1.090287
   BA2731        mut30        0.303392
   BA2733        mut30        0.219820
   BA2735        mut30        0.187189
   BA2737        mut30        0.306478
   BA2742        mut30        1.189252
   BA2744        mut30        1.409821
   BA2746        mut30        0.461588
   BA2747        mut30        1.412105
   BA2748        mut30        1.686845
   BA2751        mut30        1.277687
   BA2756        mut30        0.299974
   BA2758        mut30        0.618074
   BA2760        mut30        0.319081
   BA2762        mut30        0.353995
   BA2764        mut30        0.559569
   BA2765        mut30        0.321397
   BA2769        mut30        0.275265
   BA2772        mut30        0.452162
   BA2775        mut30        0.833508
   BA2776        mut30        1.988778
   BA2778        mut30        0.947815
   BA2782        mut30        0.557798
   BA2787        mut30        0.194833
   BA2789        mut30        1.703697
   BA2791        mut30        0.541902
   BA2792        mut30        1.244347
   BA2798        mut30        0.248617
   BA2801        mut30        0.115221
   BA2802        mut30        0.613395
   BA2804        mut30        0.547740
   BA2806        mut30        0.547903
   BA2809        mut30        0.628599
   BA2811        mut30        1.323942
   BA2812        mut30        0.737606
   BA2813        mut30        0.647902
   BA2814        mut30        0.963938
   BA2816        mut30        0.697793
   BA2817        mut30        0.162602
   BA2820        mut30        1.703671
   BA2821        mut30        1.220926
   BA2822        mut30        1.133476
   BA2824        mut30        1.744714
   BA2828        mut30        0.574792
   BA2829        mut30        1.139452
   BA2830        mut30        0.354446
   BA2832        mut30        0.861266
   BA2837        mut30        0.553939
   BA2839        mut30        0.183898
   BA2840        mut30        0.820974
   BA2842        mut30        0.147429
   BA2843        mut30        0.255624
   BA2844        mut30        0.732441
   BA2846        mut30        0.547303
   BA2850        mut30        0.363476
   BA2851        mut30        1.016006
   BA2852        mut30        0.227238
   BA2855        mut30        0.302857
   BA2856        mut30        0.183839
   BA2858        mut30        0.681289
   BA2860        mut30        0.720617
   BA2861        mut30        1.379496
   BA2865        mut30        1.378777
   BA2866        mut30        0.917415
   BA2867        mut30        0.412254
   BA2868        mut30        1.562600
   BA2870        mut30        2.721485
   BA2871        mut30        0.122092
   BA2872        mut30        0.536737
   BA2876        mut30        0.272009
   BA2879        mut30        0.061265
   BA2880        mut30        0.416123
   BA2882        mut30        0.579756
   BA2883        mut30        0.163756
   BA2885        mut30        1.064985
   BA2887        mut30        1.229892
   BA2893        mut30        1.099684
   BA2901        mut30        0.665689
   BA2902        mut30        0.323868
   BA2904        mut30        0.779906
   BA2905        mut30        0.285272
   BA2906        mut30        1.245342
   BA2908        mut30        1.254052
   BA2909        mut30        0.604154
   BA2910        mut30        0.839862
   BA2911        mut30        0.830812
   BA2914        mut30        0.979922
   BA2921        mut30        0.389459
   BA2922        mut30        1.475944
   BA2923        mut30        0.754839
   BA2926        mut30        0.877472
   BA2928        mut30        1.962040
   BA2930        mut30        0.616010
   BA2932        mut30        1.651543
   BA2934        mut30        0.137344
   BA2935        mut30        0.393603
   BA2937        mut30        1.220042
   BA2939        mut30        0.373981
   BA2944        mut30        1.797724
   BA2948        mut30        0.124391
   BA2950        mut30        0.745761
   BA2951        mut30        0.823912
   BA2952        mut30        1.633883
   BA2953        mut30        0.263997
   BA2955        mut30        0.723856
   BA2962        mut30        1.601454
   BA2970        mut30        0.350533
   BA2976        mut30        0.945308
   BA2978        mut30        0.728208
   BA2981        mut30        0.080320
   BA2984        mut30        0.523439
   BA2986        mut30        1.010925
   BA2989        mut30        0.319066
   BA2993        mut30        0.369411
   BA2994        mut30        0.693867
   BA2995        mut30        0.367250
   BA2999        mut30        0.811691
   BA3001        mut30        1.325744
   BA3002        mut30        0.831673
   BA3004        mut30        1.595102
   BA3006        mut30        1.511754
   BA3010        mut30        0.880990
   BA3011        mut30        0.370206
   BA3013        mut30        1.712808
   BA3023        mut30        0.511780
   BA3025        mut30        1.944478
   BA3027        mut30        0.222149
   BA3029        mut30        0.162726
   BA3030        mut30        0.697191
   BA3038        mut30        0.819647
   BA3040        mut30        1.670380
   BA3042        mut30        0.973160
   BA3043        mut30        0.508664
   BA3049        mut30        0.942680
   BA3051        mut30        0.273391
   BA3053        mut30        2.275616
   BA3064        mut30        1.253629
   BA3067        mut30        0.478133
   BA3070        mut30        0.496381
   BA3071        mut30        0.723060
   BA3072        mut30        0.871398
   BA3075        mut30        0.177171
   BA3077        mut30        0.557890
   BA2040        mut30        0.269321
   BA2160        mut30        1.341025
   BA2303        mut30        0.876565
   BA2353        mut30        1.174252
   BA2516        mut30        1.147794
   BA2590        mut30        1.402236
   BA2647        mut30        0.342124
   BA2891        mut30        0.545946
   BA2924        mut30        0.268933
   BA2971        mut30        0.172174
   BA3036        mut30        0.724128
   BA3059        mut30        0.119006
   BA3073        mut30        1.045452
   BA3078        mut30        1.001242
   BA3079        mut30        0.178466
   BA3083        mut30        0.614531
   BA3084        mut30        1.424273
   BA3085        mut30        1.084132
   BA3087        mut30        1.134163
   BA3089        mut30        1.331394
   BA3094        mut30        0.548298
   BA3095        mut30        1.002421
   BA3098        mut30        1.202765
   BA3099        mut30        1.145071
   BA3103        mut30        0.179314
   BA3108        mut30        1.724159
   BA3109        mut30        0.083592
   BA3110        mut30        0.371813
   BA3114        mut30        0.386755
   BA3116        mut30        0.275834
   BA3117        mut30        1.345643
   BA3118        mut30        0.271997
   BA3119        mut30        1.242538
   BA3124        mut30        0.513556
   BA3126        mut30        0.610692
   BA3128        mut30        0.339936
   BA3130        mut30        0.501570
   BA3133        mut30        0.072955
   BA3136        mut30        0.802784
   BA3137        mut30        0.574991
   BA3138        mut30        0.203784
   BA3141        mut30        1.133543
   BA3142        mut30        0.510132
   BA3145        mut30        0.183953
   BA3146        mut30        0.878063
   BA3149        mut30        0.097332
   BA3152        mut30        0.712516
   BA3153        mut30        0.156842
   BA3156        mut30        1.787226
   BA3157        mut30        1.559929
   BA3158        mut30        0.750765
   BA3162        mut30        0.209484
   BA3163        mut30        0.533852
   BA3164        mut30        1.471420
   BA3169        mut30        0.201107
   BA3171        mut30        0.281483
   BA3173        mut30        0.479828
   BA3174        mut30        0.139944
   BA3175        mut30        0.421107
   BA3176        mut30        0.813828
   BA3177        mut30        1.179141
   BA3178        mut30        1.541276
   BA3180        mut30        0.267032
   BA3181        mut30        0.525581
   BA3182        mut30        0.860746
   BA3183        mut30        0.634324
   BA3185        mut30        0.177832
   BA3186        mut30        0.469401
   BA3187        mut30        0.452841
   BA3189        mut30        0.727151
   BA3190        mut30        0.172463
   BA3191        mut30        0.974819
   BA3192        mut30        0.471238
   BA3195        mut30        0.527993
   BA3197        mut30        0.944256
   BA3199        mut30        1.207477
   BA3200        mut30        1.293915
   BA3206        mut30        0.959416
   BA3207        mut30        0.490947
   BA3208        mut30        0.687005
   BA3210        mut30        0.115320
   BA3211        mut30        0.825137
   BA3212        mut30        1.507641
   BA3213        mut30        0.594851
   BA3214        mut30        0.288515
   BA3216        mut30        0.447180
   BA3217        mut30        0.772230
   BA3219        mut30        0.632592
   BA3221        mut30        0.642180
   BA3222        mut30        1.168288
   BA3225        mut30        0.384983
   BA3226        mut30        1.233769
   BA3227        mut30        1.338368
   BA3228        mut30        1.039171
   BA3229        mut30        0.893385
   BA3230        mut30        0.854638
   BA3232        mut30        1.580350
   BA3234        mut30        0.478516
   BA3235        mut30        0.571953
   BA3237        mut30        0.366953
   BA3242        mut30        0.617954
   BA3243        mut30        0.786763
   BA3245        mut30        0.148426
   BA3249        mut30        0.203513
   BA3250        mut30        0.922257
   BA3251        mut30        0.468812
   BA3255        mut30        1.083452
   BA3258        mut30        0.656500
   BA3260        mut30        0.140689
   BA3261        mut30        1.011460
   BA3264        mut30        1.009365
   BA3266        mut30        0.791467
   BA3268        mut30        1.168497
   BA3269        mut30        0.056052
   BA3270        mut30        0.633708
   BA3271        mut30        1.035456
   BA3275        mut30        0.621383
   BA3277        mut30        0.281131
   BA3280        mut30        0.197844
   BA3283        mut30        0.154221
   BA3286        mut30        1.107798
   BA3289        mut30        0.170371
   BA3290        mut30        0.371711
   BA3293        mut30        1.292328
   BA3295        mut30        0.622732
   BA3296        mut30        0.341154
   BA3297        mut30        1.114089
   BA3299        mut30        0.218382
   BA3300        mut30        1.092198
   BA3302        mut30        1.271031
   BA3305        mut30        0.487796
   BA3306        mut30        0.531178
   BA3308        mut30        1.157664
   BA3310        mut30        0.371387
   BA3311        mut30        0.366125
   BA3312        mut30        1.122006
   BA3315        mut30        0.537401
   BA3318        mut30        0.138134
   BA3322        mut30        0.809925
   BA3324        mut30        0.663288
   BA3325        mut30        0.168265
   BA3326        mut30        0.623292
   BA3328        mut30        0.678763
   BA3329        mut30        0.565201
   BA3332        mut30        0.492934
   BA3333        mut30        0.423271
   BA3334        mut30        0.260928
   BA3335        mut30        0.253180
   BA3339        mut30        0.501382
   BA3341        mut30        0.079570
   BA3345        mut30        0.295445
   BA3347        mut30        0.408949
   BA3351        mut30        0.704699
   BA3352        mut30        0.785634
   BA3353        mut30        1.060899
   BA3357        mut30        0.822254
   BA3362        mut30        1.272844
   BA3367        mut30        0.146341
   BA3369        mut30        0.947463
   BA3371        mut30        0.168063
   BA3373        mut30        1.377148
   BA3374        mut30        0.961104
   BA3375        mut30        0.656842
   BA3376        mut30        1.045390
   BA3379        mut30        1.095070
   BA3381        mut30        0.980725
   BA3384        mut30        1.366576
   BA3385        mut30        0.811559
   BA3386        mut30        0.995814
   BA3388        mut30        0.247534
   BA3390        mut30        0.280278
   BA3394        mut30        0.550982
   BA3395        mut30        0.632293
   BA3399        mut30        0.118141
   BA3400        mut30        0.330947
   BA3403        mut30        0.862895
   BA3405        mut30        1.033348
   BA3406        mut30        0.712610
   BA3407        mut30        0.262836
   BA3408        mut30        0.219351
   BA3411        mut30        1.006616
   BA3412        mut30        0.753094
   BA3413        mut30        1.703406
   BA3415        mut30        0.124064
   BA3416        mut30        1.149641
   BA3417        mut30        0.710841
   BA3421        mut30        0.209203
   BA3423        mut30        0.361985
   BA3427        mut30        0.469763
   BA3430        mut30        0.253828
   BA3431        mut30        0.086724
   BA3433        mut30        0.145160
   BA3434        mut30        0.648561
   BA3435        mut30        0.733336
   BA3436        mut30        1.277076
   BA3438        mut30        0.686695
   BA3445        mut30        0.222404
   BA3446        mut30        0.817363
   BA3447        mut30        0.473519
   BA3448        mut30        1.195590
   BA3449        mut30        0.998889
   BA3450        mut30        0.104786
   BA3451        mut30        0.979183
   BA3452        mut30        0.158902
   BA3453        mut30        0.218653
   BA3454        mut30        1.442350
   BA2006       NonMut        0.908865
   BA2032       NonMut        0.383390
   BA2035       NonMut        0.915907
   BA2037       NonMut        1.455442
   BA2055       NonMut        1.410045
   BA2080       NonMut        0.356603
   BA2088       NonMut        0.315576
   BA2100       NonMut        0.073722
   BA2122       NonMut        0.203906
   BA2132       NonMut        0.273143
   BA2133       NonMut        0.099244
   BA2148       NonMut        0.068926
   BA2175       NonMut        0.015038
   BA2218       NonMut        0.136750
   BA2242       NonMut        0.426863
   BA2261       NonMut        0.060097
   BA2271       NonMut        1.049370
   BA2288       NonMut        0.176381
   BA2339       NonMut        0.147038
   BA2350       NonMut        0.114714
   BA2355       NonMut        0.109109
   BA2357       NonMut        0.356625
   BA2375       NonMut        0.935787
   BA2406       NonMut        0.149576
   BA2440       NonMut        0.043918
   BA2469       NonMut        0.074428
   BA2473       NonMut        0.294279
   BA2488       NonMut        0.821818
   BA2492       NonMut        0.099482
   BA2502       NonMut        0.875050
   BA2507       NonMut        0.573326
   BA2532       NonMut        0.266922
   BA2564       NonMut        0.723026
   BA2567       NonMut        0.216861
   BA2593       NonMut        3.094352
   BA2595       NonMut        0.375951
   BA2621       NonMut        0.249420
   BA2639       NonMut        1.359355
   BA2681       NonMut        0.895551
   BA2709       NonMut        0.777906
   BA2714       NonMut        1.008245
   BA2723       NonMut        0.060908
   BA2786       NonMut        0.906970
   BA2808       NonMut        0.004798
   BA2836       NonMut        0.202363
   BA2841       NonMut        0.622709
   BA2889       NonMut        0.010932
   BA2903       NonMut        0.030751
   BA2915       NonMut        0.417164
   BA2947       NonMut        1.705729
   BA2956       NonMut        0.129844
   BA2972       NonMut        0.804306
   BA2992       NonMut        0.474434
   BA3008       NonMut        0.673477
   BA3009       NonMut        0.562753
   BA3037       NonMut        0.110256
   BA3068       NonMut        0.203128
   BA3076       NonMut        0.042361
   BA3123       NonMut        0.676172
   BA3135       NonMut        0.321448
   BA3154       NonMut        0.076186
   BA3167       NonMut        0.626768
   BA3194       NonMut        1.190470
   BA3202       NonMut        0.640976
   BA3203       NonMut        0.049396
   BA3240       NonMut        0.857879
   BA3273       NonMut        0.011669
   BA3317       NonMut        1.492127
   BA3319       NonMut        0.638642
   BA3380       NonMut        0.337406
   BA3418       NonMut        0.287873
   BA3422       NonMut        0.259539
