	KRAS	NRAS
BA2909	6.50002459426286	6.82793872143045
BA2429	5.93650668840212	6.64631169310032
BA2653	6.5435898741168	7.60044547310861
BA2134	6.01704720263967	6.79404595569359
BA2947	6.0298343370462	7.43138197639579
BA2032	6.77544790931264	8.01121552663761
BA2162	6.58028734101557	6.40264148496757
BA2564	6.12552506853402	7.18398636132438
BA2597	7.31848514343172	8.12977902219921
BA3243	6.0456807736423	6.99925381802676
BA2106	6.48606087387678	7.98067391429632
BA2427	7.27898774790875	8.61151153389318
BA2841	6.2379984984627	8.04242466385173
BA2446	6.13208464272519	6.91265400996675
BA2645	7.45375064871774	8.25974759702626
BA2525	7.21621114040909	7.20386734649371
BA2876	7.14840411383597	7.7729524118183
BA2357	6.34594713892537	7.07994856692804
BA2546	6.13208464272519	6.98137959105818
BA2742	6.3028045984555	6.89778124838191
BA2316	6.15523951187803	6.82066158800154
BA2421	6.37404647308394	7.56896114376543
BA2087	6.69580577134555	8.16435812995303
BA2910	6.04775659278267	8.00619097456886
BA2148	6.92111028015582	8.08701091285537
BA2063	7.35202275514424	6.94160900810377
BA2329	5.95316910567884	6.77246010495607
BA3178	6.64464627075058	6.92369940347749
BA2072	6.21887740590051	6.9848366218031
BA3029	7.04635072837336	8.27031665707811
BA2733	7.13596647021647	8.23886821722062
BA2995	6.19521896796153	8.4594113881339
BA2069	5.91437229465113	6.79463806745523
BA2100	6.77486042127373	7.24218373520164
BA2681	6.41031606152443	6.89511146582289
BA2248	5.89480665962864	7.90490568648577
BA2832	5.75528821055756	7.26851020715081
BA2308	6.5835484694239	7.46894970580743
BA2413	6.23751631094724	7.73462168625585
BA2701	6.19966591698805	7.62683244469809
BA2634	6.4915209071939	7.03474280183588
BA2677	5.62490937512472	7.03474280183588
BA2937	6.04525873101195	6.97250726431014
BA2600	6.23708437608245	7.65632337592004
BA2019	6.68070832768596	7.20635659773546
BA2412	6.16434498353066	6.1201103531002
BA2334	6.55763968463611	7.69160326863138
BA2050	6.16651995068436	7.43138197639579
BA3230	5.49794810844599	6.59203093136997
BA2953	6.18678372367744	7.75921826167611
BA2481	5.46883804276646	6.72582978047913
BA2731	6.23172881855595	7.67233847579442
BA2294	5.73552904725917	7.42415546195164
BA2418	5.74166284605219	7.62320575204897
BA2816	6.34691329698472	7.47416545591404
BA2656	5.84190332625174	7.77444024847
BA2814	6.58405509008158	7.04851156959908
BA2631	5.69101987952385	7.07695814218809
BA2023	5.6837918460088	6.9785897904033
BA2375	6.27694818574979	7.02911174492955
BA2485	5.07164095305392	6.72991592484699
BA2455	6.85962983110872	7.79384765019346
BA2025	6.71667600372627	7.07556396699123
BA2636	6.17556084584677	7.45866975783138
BA2325	6.57195133441217	7.62080780455831
BA2169	7.26585264294213	8.11666073243668
BA2156	5.21149930924506	7.00924527251429
BA2511	6.65901439005133	7.47316503302079
BA2939	5.98876336939614	7.90342171341614
BA2168	6.26748667871903	7.79384765019346
BA2505	6.28462369436049	7.65276972214058
BA2860	6.47715255483626	7.13044392794916
BA2707	6.82129482009951	7.96905854853838
BA2871	6.37031994316104	7.73994866868774
BA2655	6.61275930528802	7.67751428719864
BA2227	5.10908170058541	7.86810697410873
BA2125	6.33826437905032	6.96289154217268
BA2523	6.08192723673296	7.19738153999511
BA2603	5.93650668840212	6.6430484484285
BA2808	5.048394609855	7.95104961478815
BA2282	5.99807250561422	6.50904089235684
BA2482	6.12947427780454	7.10851364264035
BA2812	5.83841841477399	6.51657057172327
BA2822	5.6154952630376	7.24301197621157
BA2594	5.51650915085515	7.33618294917006
BA2747	5.76371292639746	7.1445927897216
BA2561	5.21327609576147	6.37831338727117
BA2567	6.12552506853402	6.73108967735957
BA2906	6.32408741401117	7.24647814947882
BA2956	6.65845499115322	8.51425498508966
BA2474	6.1522898333018	7.02841397070837
BA2737	6.39979504855395	8.27456876079558
BA2110	5.77608779190297	7.01407346260423
BA2992	6.96703229824418	7.88642489400613
BA2220	7.54085820588458	7.28899814708616
BA2772	6.2823542083032	7.73994866868774
BA2935	5.85615861273504	7.5932544466496
BA2260	6.71837477507922	7.31397253852267
BA2676	5.34151860321391	6.45897655908302
BA2948	6.68015759773525	7.66613976188412
BA2524	7.13596647021647	8.52958832512444
BA2811	6.53792906948021	7.64636707538027
BA2540	6.53938586035748	7.72941398094
BA2928	6.48511945241293	6.80787905159787
BA2302	7.5196690047936	8.0760787079227
BA2595	6.48220324595878	7.69666948274062
BA2792	5.65751126924784	6.87084783224833
BA2651	6.79874731374986	7.94145634611773
BA2619	6.74390931891346	7.51413414557592
BA3013	6.21363363803942	7.14840411383597
BA2405	6.16651995068436	7.62437772428186
BA2735	5.94431286144935	6.57720688521491
BA2856	6.98208266015901	6.73222274372854
BA2377	6.75251712721233	8.40379071339591
BA2499	6.39689952753953	7.53734841909383
BA2463	6.68698956921182	7.67892900147032
BA3023	6.82612058067876	8.14513423086413
BA2095	5.5268548517384	7.42415546195164
BA2901	6.29917931617032	7.51084212363206
BA2275	6.27558206925265	6.82008128976274
BA2387	6.11207876458844	7.15951987646114
BA2962	5.90312039371181	7.45571345371651
BA2195	7.2187812774904	7.91426996698012
BA2688	7.2509128285615	7.53197491812839
BA2787	6.28418360809681	6.33418865159932
BA2420	5.5413102037989	6.6892157543699
BA2756	5.36438724591077	7.99068122497693
BA2122	6.70920078860468	6.96289154217268
BA2053	7.30591810989836	7.99573716734119
BA2080	6.70809549173072	7.97230357086309
BA2081	6.23033780733241	7.36910502551481
BA2354	5.40957494113667	7.02978091514104
BA3273	6.9766278154768	7.62806217739621
BA2893	5.91758639573652	6.89318073804479
BA2044	5.73973435709854	6.93558317816731
BA2489	6.71095851013656	7.98067391429632
BA2309	5.55474564087748	6.94490055523594
BA2720	7.39829394317713	7.46997411625783
BA2908	5.56328786077881	7.09047728148948
BA2054	5.45747294133932	6.40264148496757
BA2872	6.33600766569699	6.68070832768596
BA2526	6.26075536574437	8.33784249776874
BA2041	7.05061628699762	8.11666073243668
BA2464	5.70182427600488	7.20465709297985
BA2902	5.89440299333517	8.16644533071452
BA2541	6.2379984984627	7.38062061343463
BA2143	5.74166284605219	8.0179995830141
BA2094	6.35536228255588	7.02554920178684
BA2769	6.17513620282509	7.6160759273921
BA2843	5.75454478360845	8.30909856685695
BA2592	6.64131489127646	7.69288267465993
BA2497	6.20740227072508	6.76359470107912
BA2718	5.15174013749338	7.03549223810054
BA2575	6.52988298875597	6.88614746987226
BA2096	5.83256616777847	7.41990509181254
BA2593	4.76674888665219	6.50152491798344
BA2791	5.79007459520967	7.91111348596979
BA2620	5.90841075366335	7.11817234858432
BA2629	5.56441490975965	7.06956103001791
BA2870	5.37196237255135	6.8958209414819
BA2423	6.33092888167036	7.76614073791854
BA2682	5.81083073745061	7.53974354156668
BA2276	5.83522810280634	7.27555120012057
BA2348	6.80787905159787	7.62437772428186
BA2709	6.59999610931592	7.76614073791854
BA2789	5.32846021235263	6.98275640527684
BA2694	6.62033484572762	7.69023500088856
BA2538	5.79404160330192	8.83992016748168
BA2583	6.13555041364827	7.67625068419832
BA2415	6.0141571040408	6.43590316276273
BA2722	6.7037023558772	7.16795764916514
BA2806	5.78192253760815	7.86375133258917
BA2221	6.0840496796786	7.1743962727285
BA3025	5.52282953362988	7.22705513643141
BA2514	6.92559422045597	8.12411003652868
BA2520	6.07695623288107	8.37409825216549
BA2441	6.59041781660964	7.66613976188412
BA2153	6.20227272504612	7.59565623174131
BA2479	6.30650779394135	7.35390839708449
BA2281	6.05448659537988	7.41702873174962
BA2657	6.57456923029337	6.85580435382138
BA2932	5.79524607347208	6.88034277223335
BA2123	6.2114515075537	7.99915514777274
BA2844	5.36181709207634	7.7071077714624
BA2660	5.9389872636167	6.98553956904008
BA2836	6.32959875231621	8.23473317956582
BA3027	6.56326897910348	7.64255001400601
BA2714	6.57195133441217	6.99377561399407
BA2139	6.10020798817236	7.00288610035202
BA2251	5.19592591955162	7.18812871773308
BA2952	6.32036876736161	6.85335943019892
BA2440	6.11294027816034	7.70064711748054
BA2036	6.1703431490426	6.801788717217
BA2828	6.42672024198766	7.44741351807287
BA2292	6.10829331712153	7.4576754868774
BA2410	5.18796044923078	8.11104544817006
BA2051	7.45571345371651	8.51934782702254
BA2532	5.63016664038851	7.47416545591404
BA2986	5.98467386389207	7.07770710445007
BA2494	7.07025966230358	7.99915514777274
BA2515	6.63008743018599	7.71215406681609
BA2748	4.75201016058728	7.04988485075939
BA2970	5.70757619671164	7.69023500088856
BA2622	5.8427644069249	7.1743962727285
BA2839	5.97523061949623	7.99739906746641
BA2052	7.21053357648558	7.68013043810275
BA3011	5.43294930334947	7.52879493976561
BA2868	5.71216715668097	7.1445927897216
BA2510	5.85341733924409	8.05801802157941
BA2065	5.90076617867574	7.03474280183588
BA2691	6.45599883472476	7.05647487229206
BA2374	6.01292615255046	6.93420850135559
BA2804	6.77304018403642	7.20800173217813
BA2670	7.07770710445007	7.18812871773308
BA2675	6.26793317633204	7.22951525991334
BA2589	7.73462168625585	8.15090969693391
BA2031	6.14630933784289	6.75597489483719
BA2198	6.1725191860544	7.13044392794916
BA2066	6.60955337824494	7.18078818168097
BA2344	5.85182499561048	6.65069612456278
BA2459	5.31939718851273	7.61833712147791
BA2229	6.76002445528346	7.72941398094
BA2559	6.55602598145563	7.58415033094325
BA2093	5.07731571102635	6.84039491318719
BA2000	5.90436368867117	6.5550219238791
BA2425	6.43983576769468	7.14764743423536
BA2905	6.8576823032308	7.75227162313381
BA2304	6.34052654914622	6.91918219556931
BA2976	4.77768955351298	6.74898905678908
BA2386	6.37595873118392	7.41008797800013
BA2035	5.68796081473269	7.550843282623
BA2760	7.29872623007905	7.68399828509427
BA2201	5.82781183106441	6.84277692729058
BA2355	7.86087718753597	8.16059641320183
BA2113	5.67164706144241	7.06807720975175
BA2155	6.50297201387594	7.29872623007905
BA2955	6.07520173413689	6.87337102503918
BA2502	6.40833220097732	7.08227901596389
BA2322	5.46037170982955	7.80956394588893
BA2376	6.05279557201734	6.88034277223335
BA2020	5.91992653150053	7.10851364264035
BA2226	6.07221564365928	7.30676049708217
BA2200	6.02496543297874	6.95751613947387
BA2121	6.20481541845022	7.47524977931761
BA2944	5.93534312096623	7.44644074627456
BA2033	7.19643196455649	8.7332018546727
BA2867	7.01407346260423	7.91426996698012
BA2089	6.8971019245288	7.15951987646114
BA2224	6.03237585936357	7.18556384102574
BA2046	6.55550004595218	8.04242466385173
BA2972	5.38115555205834	7.70840071464408
BA2978	6.65737778697747	6.92898560318184
BA2829	6.75597489483719	7.28800386009291
BA2851	5.85420953813976	7.26066025557169
BA2587	5.96866800122242	7.04635072837336
BA2461	6.07098245209084	6.94225752405198
BA2695	6.64018393293961	8.26157753766667
BA2623	6.05196623929884	7.41600983782201
BA2024	6.06121727575126	6.76359470107912
BA2426	6.40549948389557	8.46676516104844
BA2271	6.1781806387775	7.53303259081949
BA3004	6.02857515716086	7.20712924024302
BA2579	6.14588697195031	6.95344802847081
BA3010	5.78501009572694	7.21300808308282
BA2662	5.86379837364361	6.61275930528802
BA2674	6.25179190765508	7.21542521128511
BA2280	6.51302546929391	7.56567805381962
BA2512	5.99112678530118	6.88742207164032
BA2658	5.70948396756837	7.51191595859432
BA2394	6.23620830247888	7.03549223810054
BA2950	6.13418245991914	7.78253531759111
BA2981	6.17773554711095	8.25135474465914
BA2934	6.38407282289154	6.95344802847081
BA2539	5.98303645552473	6.43882504176683
BA2249	6.6322579586067	7.39635430321553
BA2034	5.96626697955829	7.57949702449786
BA2109	7.42928783450574	7.4382687261571
BA2242	5.80971219847918	6.98688341334907
BA2277	5.85381815948029	7.03918975972709
BA2727	6.82734034498185	7.05292631391108
BA2132	6.55336509971083	7.54856623986657
BA2618	5.64089444218065	6.68477667416407
BA2521	6.09345357181028	6.84657434431718
BA2846	5.31939718851273	7.4333053034535
BA2885	6.21316864027758	7.27205163282357
BA2639	6.36600938491696	7.25358458154246
BA2775	6.20740227072508	6.56583781452914
BA2402	6.30650779394135	7.43138197639579
BA2097	6.74557828155057	7.78401208165605
BA2786	6.69861654752334	7.56321071069528
BA2399	5.64956635618765	7.69160326863138
BA2850	6.48560018665895	7.78123623973778
BA2174	5.86455468208166	6.79463806745523
BA2004	6.78009238710876	6.61536224183286
BA3001	5.70799389400686	6.89839628157059
BA2311	6.45945806358587	7.06302085430374
BA2483	6.50002459426286	7.13198010911185
BA3040	5.76568700898176	7.22042069105103
BA2837	6.93558317816731	7.52657913903788
BA2724	6.27245301532753	8.07789379739417
BA2911	6.10020798817236	7.22294227292879
BA2256	5.8301135616909	7.83704881770087
BA2821	5.75528821055756	7.11072300969941
BA2233	5.73401055203652	7.89717932578411
BA2744	5.63056154926796	6.73922514739457
BA2880	6.09767489671198	7.2456266527422
BA2621	5.82038676910408	7.04344633578654
BA3002	6.94881589861991	7.35390839708449
BA2501	6.2290430058542	7.16132716982423
BA2993	6.11717160296269	7.59101188148724
BA2301	6.69807753006718	7.92045916247849
BA2852	6.60688950527526	7.53093612416627
BA2133	7.65632337592004	7.26938021173089
BA2866	5.62043017440298	7.13513562600345
BA2212	5.82000063861969	7.88494695067266
BA2685	6.63383351459938	8.03722226484621
BA2273	6.02160740360286	7.88642489400613
BA2477	6.1167480511433	6.69750566900229
BA2659	5.97201044807817	6.87971926016812
BA2124	5.45304161965294	6.72640507458581
BA2363	5.88526249443146	6.67668520784891
BA2369	6.82008128976274	7.99915514777274
BA2534	5.81801473613502	7.07180826529373
BA2400	5.08793311079164	7.04851156959908
BA2762	6.07058706634591	7.94936162159169
BA2312	6.14416917418804	6.95615389337193
BA2813	6.19299832162761	7.78401208165605
BA2211	5.90514668195897	7.00853195755675
BA2171	6.04941764661937	7.10380554442151
BA2746	6.14759404853347	7.54404101452516
BA2798	7.07695814218809	8.52702131941912
BA2809	6.31632447129761	7.29162764738793
BA2288	6.57871147435603	7.38062061343463
BA2801	6.75831323775631	6.96091622827791
BA3030	5.97158629049038	6.57195133441217
BA2588	5.68494283424888	6.90877033903166
BA2296	5.30744038497995	7.10380554442151
BA2300	6.64464627075058	7.08368088883067
BA2903	6.57305438035027	7.16876088952225
BA2473	6.69027313849037	8.12599675573878
BA2545	6.01956079840895	6.71895435387141
BA2840	5.98386136715206	7.05796014084047
BA2528	5.4190645075916	6.67112647924208
BA2646	6.02537342172354	7.34929269675225
BA3407	6.88430660085161	8.16059641320183
BA2240	6.69247942029726	7.40804987020109
BA2926	5.65522675909671	6.43590316276273
BA2272	5.77884237694475	6.7421473941764
BA2306	5.98665414736016	7.47416545591404
BA2765	6.92959860586943	6.63915578339387
BA2904	6.27738452973272	7.08440089746741
BA2883	7.3121239051118	7.84423149870525
BA2726	6.33872181034159	7.1288906231397
BA2234	6.0515207109664	6.93623650693789
BA2022	6.46234599249875	7.33890799019329
BA2228	7.09119041085949	7.86375133258917
BA2037	5.95193817538216	6.88492067829042
BA2184	4.90219466037622	7.16215175411855
BA3009	5.72829583893467	7.14612289543671
BA2842	6.94945791531145	7.34277993266588
BA2442	6.01956079840895	6.80116720365205
BA2882	6.13639827903739	7.1030737643179
BA2758	7.05132427456444	7.06736498172321
BA2705	6.9848366218031	8.34007975821985
BA2663	6.26075536574437	7.19985683529985
BA2570	7.17116786854616	7.17913715940168
BA2764	5.89918966262517	6.45300101587846
BA2209	7.25696535562506	7.947879626465
BA2989	6.29410623448101	7.96422079504262
BA2855	7.11288822976142	7.617186143553
BA2261	6.14975362813735	6.81811142246577
BA2721	6.08278210679629	6.75309739437635
BA2930	6.70422977407013	6.93558317816731
BA2728	7.05570452227078	6.78865136154736
BA2715	7.21378004978512	8.18217944661747
BA2469	6.37404647308394	6.21539686316165
BA2269	6.42139457326444	7.07329793491951
BA2098	6.0908744011171	7.06596636229514
BA2778	6.00599295147661	7.04704814373678
BA2951	5.7683712705426	6.45750445904916
BA2163	6.44275689894875	7.35957852119331
BA2379	6.9924430115513	7.89108706846145
BA2817	7.56784611916855	7.88642489400613
BA3153	7.1030737643179	8.59529250724368
BA2820	6.18590754539494	7.02624764830014
BA2723	7.17999658780694	7.88793681406652
BA2704	5.82038676910408	7.14840411383597
BA2088	7.44443985803447	8.12418859250955
BA2116	7.00565090016862	8.0044307958278
BA2584	5.66624841046103	7.39734461578024
BA3079	5.3548515397872	7.08521741719084
BA2417	6.12097278529639	7.56567805381962
BA2361	6.34322095252985	7.60044547310861
BA2450	6.77360382440632	7.3445927403943
BA2492	6.62952631509886	7.90490568648577
BA2552	6.3548930381601	7.61362919863888
BA2472	6.15921420802907	7.49565796423242
BA2994	6.48511945241293	8.05801802157941
BA2047	6.16391479568772	7.28712238553665
BA2101	6.33826437905032	7.45963779857083
BA2082	6.45300101587846	8.08153228980509
BA2879	7.04918884608735	7.83985748399556
BA2577	5.07799649639269	6.78802478417111
BA2456	6.93827202821145	8.30909856685695
BA2175	6.81629782268832	7.76614073791854
BA2824	6.39878739722288	7.22867709025789
BA2507	7.07405167828484	7.83840005803793
BA2563	6.41850564142252	7.13917152831013
BA2244	6.27648485557989	6.98553956904008
BA2470	6.72183111998027	7.51413414557592
BA2984	6.25945312566298	7.48382605156173
BA2414	6.01254264145456	7.15798365655759
BA2697	6.85335943019892	6.54766219361137
BA2079	6.57974013566299	6.79581543973709
BA2999	6.481688319913	7.42090370210596
BA2644	5.92714619342572	6.64915964619014
BA2011	6.43335604753767	7.45571345371651
BA2217	5.02654059802702	7.23974353995359
BA2454	6.53938586035748	7.38062061343463
BA2776	5.83879668402003	7.25696535562506
BA2218	6.85206790796753	8.18813169577028
BA2135	6.40314188601748	8.37180321609369
BA2914	6.56478809528508	6.78074983432615
BA2500	6.50248754607679	7.41990509181254
BA2830	6.31251579014812	8.20616122712402
BA2406	6.56990345420697	7.53511002571526
BA3108	5.19592591955162	6.79345158499426
BA2924	6.48606087387678	8.23061160269424
BA2303	6.2969414166888	6.74557828155057
BA2160	5.58046983385628	6.80603450730616
BA2038	6.36086030376613	8.30691336971867
BA2602	6.18463805749781	8.2874098816496
BA2964	6.56276898771766	7.59447758989453
BA2898	5.93038956442244	6.89778124838191
BA3003	6.1556592421586	6.76240903317338
BA2111	5.77965565034493	6.79100301901869
BA2827	5.66857438252226	7.09568366825665
BA2912	5.80572775335192	6.8867637487898
BA2437	5.83445972810738	7.05061628699762
BA2283	5.90196356256727	6.8576823032308
BA2057	5.86901047120639	6.94758145894243
BA2633	5.84787957757678	6.95085389521077
BA3034	5.78381085772966	6.806661857708
BA2607	5.79045455115976	6.98275640527684
BA2761	5.88127605322844	7.06885426902192
BA2795	5.92596043186298	6.91326402535282
BA2182	5.91282831503143	6.97731252665637
BA2152	5.83219280517824	6.801788717217
BA2381	5.54245080282141	7.41308925427417
BA2931	5.85025846641857	7.41889646736553
BA2040	6.65295694076347	7.74808252538179
BA2590	6.07058706634591	7.69790613813162
BA3195	6.32915479459382	7.49042755149826
BA2516	6.08879387607679	6.76777472760262
BA2353	6.09808877325888	7.47732145799094
BA3036	6.52836297577895	7.2977714926992
BA2971	7.00782899353321	7.85931538761176
BA3410	6.47571845442986	7.63278489020753
BA3118	6.93021683662514	8.47663077360064
BA3206	5.60877477912872	6.79404595569359
BA3202	7.00490622738367	8.1017443875296
BA3217	5.60231976530737	7.75510135803604
BA3405	6.14718029862126	6.87403385388121
BA3306	6.93692249333061	7.99413751864958
BA3371	6.30098784091473	7.63278489020753
BA3413	4.93997522367398	6.93090952480088
BA3411	5.42089748568897	6.71268468403438
BA3133	6.37454386361439	7.15158559200513
BA3164	7.22379610574448	7.36252362510307
BA3451	6.37928950311348	7.1030737643179
BA3286	5.88879613535989	6.5145040049866
BA3212	6.23664169060856	7.42721767032965
BA3103	6.17297010149014	8.24301678047805
BA3271	6.25718104508128	7.28438406463884
BA3152	6.0765385205626	6.73983231150721
BA3095	5.89521114196018	6.8791208631907
BA3192	6.34457703412125	7.87732006412967
BA3251	6.1556592421586	7.69288267465993
BA3362	6.23843360586454	7.05570452227078
BA3400	7.34277993266588	8.34456564828853
BA3135	6.86772375181213	8.08518191159815
BA3408	6.87466227370096	7.03126251610198
BA3187	6.24365480544028	7.60161963856079
BA3098	6.47668114264654	7.1639233124779
BA3435	5.20650932541934	7.12189404339898
BA3261	5.53239656043462	6.99175546936536
BA3203	6.60421812247539	8.3603866090308
BA3174	6.75887216800442	8.00271116464237
BA3317	5.63129100334128	6.99516443206292
BA3299	6.75074032756909	8.44724078411408
BA3221	6.18031363241998	6.6263105848456
BA3347	6.09345357181028	8.31787605128572
BA3235	6.31810358288684	7.21134659078952
BA3126	5.77528788033686	7.34277993266588
BA3380	6.34322095252985	7.96744532914178
BA3089	6.54766219361137	7.06956103001791
BA3109	8.23886821722062	7.62806217739621
BA3114	6.69080762366511	7.26669441560471
BA3418	6.86903485569995	8.07245680901417
BA3245	6.85144834736251	8.43758065182973
BA3085	5.9793117509229	7.97230357086309
BA3128	6.73692509275104	7.99739906746641
BA3423	6.38837422038712	8.2960419873451
BA3173	6.43590316276273	8.09067732991193
BA3171	6.39551228028091	7.36252362510307
BA3277	7.50861653894833	8.51425498508966
BA3210	6.945568125872	7.8894951557827
BA3157	5.69487870461564	7.38560317769133
BA3433	7.10612705087253	8.0301567645062
BA3322	6.19438001519865	6.71610247691018
BA3374	6.44078936377997	6.6892157543699
BA3450	7.42928783450574	8.18813169577028
BA3167	6.31205444786469	8.01965582601105
BA3269	7.20712924024302	8.10545619155905
BA3110	7.15951987646114	7.65148276489013
BA3156	6.34832965907228	8.05115312612603
BA3226	6.30326841219344	6.88993208075706
BA3421	6.67446820413111	7.19064975766148
BA3232	6.25311199468293	6.8194770973329
BA3289	6.70309367478267	7.37484847247432
BA3430	6.65958088429919	7.79093203959201
BA3145	6.13208464272519	7.12189404339898
BA3399	7.15158559200513	6.79640967556144
BA3449	7.12738803665014	7.40707286933197
BA3384	6.39551228028091	7.10925539195399
BA3427	6.39499507819247	6.79813530726845
BA3163	6.46976849722254	7.06302085430374
BA3158	5.99230630864101	7.21542521128511
BA3436	5.10176553273552	6.60634523087502
BA3154	7.94635895319707	8.16576290814706
BA3162	6.12593955851946	7.50539293842063
BA3352	6.12682630802195	6.95550948162844
BA3084	6.11421817923463	7.14921380328589
BA3149	6.70755472000419	8.03884116383771
BA3169	6.35211013226828	7.53405377993628
BA3180	6.08707291217101	7.65513327960109
BA3255	6.35069815914233	6.85895592875875
BA3438	5.94678819915787	6.89511146582289
BA3345	6.38888273500531	7.2023131865225
BA3403	6.53347844553203	6.63758201438047
BA3431	6.55027156269161	7.31937809888862
BA3181	6.18904995277038	6.78865136154736
BA3341	6.63058753997147	7.65148276489013
BA3191	6.55763968463611	7.00423488076259
BA3197	5.96545215931813	7.20073563164426
BA3448	6.30418081628279	6.90161368403515
BA3453	7.166329054571	8.07426638068647
BA3406	6.47620808782314	7.12505562496802
BA3308	5.28434744849232	7.09710413510838
BA3186	6.2118938217401	7.19225834495813
BA3334	6.36420435904822	6.93152855508892
BA3447	6.01540130062044	6.50649211862862
BA3116	6.85025853686514	8.09619809378225
BA3280	6.47376016789819	8.53990253916599
BA3185	7.13756401534747	8.09804401257278
BA3094	6.47477154385912	7.86231924501854
BA3318	6.62191624581517	7.99739906746641
BA3216	6.39408540771364	8.1017443875296
BA3332	6.08749744481029	7.99573716734119
BA3214	6.77834045992494	7.75510135803604
BA3099	6.00800870736247	7.11440294806697
BA3141	5.65298785945913	6.52836297577895
BA3373	6.51555081347966	7.22127084858972
BA3319	6.60792383481337	6.9785897904033
BA3328	6.06637986410425	7.12189404339898
BA3339	6.69192414230504	6.44032365945441
BA3240	5.76027037839446	6.9401836518602
BA3142	4.8344440973172	7.36623727973933
BA3333	6.21933467933948	7.59447758989453
BA3381	6.29361798014735	6.63758201438047
BA3290	5.81959741153124	6.83464418679852
BA3207	6.12773621877344	6.76418682921246
BA3296	6.17166961813264	6.59203093136997
BA3305	5.87890505700567	7.38560317769133
BA3434	6.00800870736247	7.08598210070988
BA3189	6.5851771545889	6.76359470107912
BA3264	6.15311168314809	7.37299295258264
BA3329	6.389795387917	7.4262875873266
BA3417	6.32360812377741	7.09047728148948
BA3367	6.50854787129231	7.6954634086272
BA3225	6.00134650129498	6.69136843496562
BA3183	5.84353133766961	7.20544727648903
BA3222	6.20920563257666	6.44517490297706
BA3139	5.10386434450347	7.27110711454488
BA3397	5.37119917272032	7.28899814708616
BA3311	6.71155130794723	6.8175184307766
BA3422	6.63707820351379	8.19211577067672
BA3228	6.18772366533395	7.42825345365406
BA3213	6.24771521769711	7.74808252538179
BA3270	6.14416917418804	6.73050676463962
BA3415	5.91677233397116	6.74501989741739
BA3324	6.6100656847185	7.00079089475897
BA3194	5.57116929470375	6.77131514818168
BA3335	6.39073862378253	8.00107447892983
BA3199	5.91798611999628	6.83403264485773
BA3326	6.46633469347968	7.80094268898657
BA3285	5.21889098057232	7.19064975766148
BA3297	5.83256616777847	7.03918975972709
BA3227	5.54622262901938	7.12738803665014
BA3394	6.76957967246072	6.86346274491745
BA3412	5.5707897593563	7.29872623007905
BA3293	6.23394092312001	6.79158437688518
BA3250	6.72296106322052	7.17197273809379
BA3177	6.56685915377229	7.08821062221174
BA3315	6.03363601462633	7.5552619353094
BA3182	6.28139967131455	7.17836164217363
BA3260	6.77661655379887	7.19064975766148
BA3369	6.35117266997331	7.1639233124779
BA3078	6.13249003882685	6.77661655379887
BA3386	6.0515207109664	6.72117913083453
BA3445	6.31162098099213	7.05362684769664
BA3452	6.23299520957221	6.64862107605335
BA3176	5.46337307822737	6.52988298875597
BA3258	6.06387711588008	6.9924430115513
BA3295	6.33644936442148	6.93764309063722
